country_name,country_code,continent,count
Afghanistan,AFG,Asia,1
Albania,ALB,Europe,2
Argentina,ARG,South America,5
Austria,AUT,Europe,1
Belgium,BEL,Europe,1
Belarus,BLR,Europe,7
Bolivia,BOL,South America,1
Brazil,BRA,South America,9
Brunei Darussalam,BRN,Asia,6
China,CHN,Asia,33
Niue,NIU,Australia,1
Colombia,COL,South America,3
Cyprus,CYP,Asia,1
Dominican Republic,DOM,North America,2
Ecuador,ECU,South America,1
Eritrea,ERI,Africa,3
Spain,ESP,Europe,7
Ethiopia,ETH,Africa,17
France,FRA,Europe,10
Georgia,GEO,Asia,1
Hungary,HUN,Europe,1
India,IND,Asia,123
Iraq,IRQ,Asia,3
Italy,ITA,Europe,19
Jamaica,JAM,North America,3
Kazakhstan,KAZ,Asia,5
Kenya,KEN,Africa,140
South Korea,KOR,Asia,1
Morocco,MAR,Africa,14
Mexico,MEX,North America,5
New Zealand,NZL,Australia,2
Pakistan,PAK,Asia,7
Peru,PER,South America,1
Poland,POL,Europe,2
Qatar,QAT,Asia,2
Romania,ROU,Europe,5
Russian Federation,RUS,Europe,62
Rwanda,RWA,Africa,2
Slovakia,SVK,Europe,2
Syrian Arab Republic,SYR,Asia,1
Thailand,THA,Asia,1
Tajikistan,TJK,Asia,1
Turkmenistan,TKM,Asia,1
Tunisia,TUN,Africa,1
Türkiye,TUR,Europe,19
Uganda,UGA,Africa,4
Ukraine,UKR,Europe,15
United States,USA,North America,13
Uzbekistan,UZB,Asia,5
Venezuela,VEN,South America,1
